Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_10x12.5,2,470uF/25V,
C10,CP_Elec_6.3x7.7,1,220uF_16V,
"C11, C12, C16, C17, C21, C22, C3, C4, C5, C7, C8, C9",0805,12,100nF,
"C13, C18",CP_EIA-3528-21_Kemet-B_HandSolder,2,4.7uF/16V,
C14,0805,1,470nF,
C15,CP_Radial_D5.0mm_P2.00mm,1,10uF_16V,
"C19, C20",0805,2,22pF,
C6,CP_Elec_10x12.5,1,680uF_35V,
"D1, D11, D2, D5, D6, D9",LED_D3.0mm,6,Red,
"D10, D8",D_SMA,2,1N5819,
D12,LED_D3.0mm,1,Green,
"D3, D4",Diode_Bridge_Vishay_GBU,2,GBU8M,
D7,D_SMA,1,1N5824,
"J1, J2","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",2,12VAC,
"J3, J5","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",2,MOTOR,
J4,PinHeader_1x06_P2.54mm_Vertical,1,SIGNAL,
J6,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,12V_IN,
J7,PinHeader_1x04_P2.54mm_Vertical,1,USB_C Conn,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,~,
L1,L_12x12mm_H6mm,1,33uH,
"M1, M2_5","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",2,Geared Motor,
Q1,SOT-363_SC-70-6,1,UMH3N,
"R1, R18, R2, R20, R21, R3, R4",0805,7,330R,
"R10, R12, R14, R16, R17, R19, R6, R8, R9",0805,9,10k,
"R11, R13, R15, R5, R7",PinHeader_1x02_P2.54mm_Vertical,5,LDR,
SW1,PinHeader_1x06_P2.54mm_Vertical,1,RotaryEncoder,
SW2,SW_SPST_CK_KXT3,1,RESET,
SW3,SW_SPST_CK_KXT3,1,FLASH,
U1,TO-263-5_TabPin6,1,LM2596S-3.3V,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,ESP32-WROOM-32U,1,ESP32-WROOM,
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
Y1,Crystal_HC49-4H_Vertical,1,12MHz,
