Designator,Mid X,Mid Y,Rotation,Layer
C1,115.9525,-99.08,180.0,top
C10,98.75,-58.8,270.0,top
C11,137.515,-69.84,0.0,top
C12,104.83,-64.04,180.0,top
C13,155.45,-66.81,0.0,top
C14,112.495,-57.7,0.0,top
C15,161.415,-61.14,180.0,top
C16,112.4925,-55.58,0.0,top
C17,160.99,-66.32,0.0,top
C18,166.195,-71.9,180.0,top
C19,146.04,-70.48,0.0,top
C2,131.0875,-99.07,180.0,top
C20,154.9175,-58.84,0.0,top
C21,154.9,-62.455,180.0,top
C22,138.545,-53.74,180.0,top
C3,103.52,-104.18,0.0,top
C4,127.7,-91.36,180.0,top
C5,112.48,-59.76,180.0,top
C6,100.97,-95.33,90.0,top
C7,112.36,-64.12,180.0,top
C8,112.4,-61.94,180.0,top
C9,112.3825,-66.24,180.0,top
D1,192.96,-55.94,90.0,top
D10,169.875,-60.965,180.0,top
D11,174.99,-55.175,0.0,top
D12,168.93,-55.18,0.0,top
D2,192.8,-62.21,90.0,top
D3,106.69,-108.55,0.0,top
D4,131.81,-108.57,0.0,top
D5,192.74,-68.6,90.0,top
D6,192.7,-75.27,90.0,top
D7,100.3975,-84.53,180.0,top
D8,167.1825,-66.845,0.0,top
D9,105.0,-55.63,0.0,top
J1,108.11,-117.0575,0.0,top
J2,118.73,-116.9375,0.0,top
J3,164.29,-82.49,180.0,top
J4,152.34,-108.54,180.0,top
J5,164.29,-117.89,0.0,top
J6,154.042766,-89.237958,270.0,top
J7,158.61,-54.39,90.0,top
L1,102.18,-72.51,90.0,top
M1,131.51,-116.7175,0.0,top
M2_5,143.52,-116.6675,0.0,top
Q1,138.835,-61.59,270.0,top
R1,188.5,-54.52,0.0,top
R10,177.2275,-69.71,0.0,top
R11,137.5525,-85.205,180.0,top
R12,138.105,-79.02,0.0,top
R13,132.9625,-85.205,180.0,top
R14,133.5525,-79.01,0.0,top
R15,128.3725,-85.205,180.0,top
R16,128.8425,-79.05,0.0,top
R17,112.345,-53.38,180.0,top
R18,105.7,-60.51,180.0,top
R19,142.14,-73.45,0.0,top
R2,188.44,-60.84,0.0,top
R20,173.2025,-66.06,0.0,top
R21,176.19,-60.25,0.0,top
R3,188.42,-67.17,0.0,top
R4,188.3275,-73.83,0.0,top
R5,146.7325,-85.205,180.0,top
R6,146.625,-79.06,0.0,top
R7,142.1425,-85.205,180.0,top
R8,142.425,-79.06,0.0,top
R9,177.1875,-66.04,180.0,top
SW1,181.575,-62.975,180.0,top
SW2,137.805,-66.0,180.0,top
SW3,137.365,-73.73,180.0,top
U1,118.33,-85.78,0.0,top
U2,156.855,-73.76,0.0,top
U3,125.28,-62.285,0.0,top
U4,146.565,-56.385,0.0,top
Y1,146.165,-64.51,180.0,top
