Designator,Mid X,Mid Y,Rotation,Layer
BZ1,176.3525,-39.85,180.0,top
C1,140.05,-36.9,0.0,bottom
C10,169.9,-127.7,180.0,bottom
C11,106.55,-118.45,0.0,bottom
C2,110.6,-66.9,180.0,bottom
C3,183.9,-64.8,90.0,bottom
C4,110.3,-53.7,90.0,bottom
C5,185.3,-42.35,90.0,bottom
C6,100.4025,-39.1675,270.0,top
C7,185.3,-38.6,270.0,bottom
C8,98.65,-59.75,0.0,bottom
C9,107.8,-150.9,180.0,bottom
D1,188.95,-47.33,270.0,top
D2,105.1,-60.5,180.0,bottom
D3,188.95,-52.38,270.0,top
J1,105.6,-64.1,90.0,top
J11,188.38,-40.41,180.0,top
J13,114.8,-112.07,0.0,top
J14,175.3,-130.7,90.0,top
J15,110.2,-112.1,180.0,top
J2,142.51,-33.975,90.0,top
L1,114.7,-41.55,0.0,top
Q1,166.7425,-39.85,270.0,top
R1,182.6625,-88.6,180.0,bottom
R10,182.6625,-103.95,180.0,bottom
R11,166.55,-106.4,0.0,bottom
R12,169.2525,-39.8,90.0,bottom
R2,182.6625,-81.0,180.0,bottom
R3,167.05,-68.3,0.0,bottom
R4,167.05,-70.85,0.0,bottom
R5,166.55,-108.95,0.0,bottom
R6,166.55,-111.05,180.0,bottom
R7,182.6625,-86.1,180.0,bottom
R8,182.6625,-96.25,180.0,bottom
R9,182.6625,-101.35,180.0,bottom
U1,174.75,-89.9,180.0,top
U2,101.15,-48.4,90.0,bottom
U3,104.59,-142.01,90.0,top
