Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_15x7.5RM7.6,1,Buzzer,
"C1, C11, C14, C15, C2, C7, C8",0805,7,100nF,
"C10, C4",CP_EIA-3528-21_Kemet-B_HandSolder,2,4.7uF/16V,
"C12, C13",0805,2,22pF,
C3,CP_Elec_10x12.5,1,680uF_35V,
C5,CP_Radial_D5.0mm_P2.00mm,1,10uF_16V,
C6,0805,1,470nF,
C9,CP_Elec_6.3x7.7,1,220uF_16V,
"D1, D2, D3, D4, D7, D9",LED_D3.0mm,6,Red,
D10,LED_D3.0mm,1,Green,
"D5, D8",D_SMA,2,1N5819,
D6,D_SMA,1,1N5824,
J1,SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,1,BSENS,
"J10, J9",PinHeader_1x04_P2.54mm_Vertical,2,USB_C Conn,
J3,TestPoint_Keystone_5015_Micro_Mini,1,+IN,
J4,TestPoint_Keystone_5015_Micro_Mini,1,-IN,
J7,TestPoint_Keystone_5015_Micro_Mini,1,+5V,
J8,TestPoint_Keystone_5015_Micro_Mini,1,-5V,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,~,
L1,L_12x12mm_H6mm,1,33uH,
OC1,SMDIP-4_W9.53mm,1,PC817XI,
Q1,SOT-363_SC-70-6,1,UMH3N,
"R1, R10, R12, R13, R2, R5, R6, R8",0805,8,330R,
"R11, R3, R7, R9",0805,4,10k,
R4,0805,1,20k,
SW1,PinHeader_1x02_P2.54mm_Vertical,1,SW_Push,
SW2,SW_SPST_CK_KXT3,1,RESET,
SW3,SW_SPST_CK_KXT3,1,FLASH,
U1,PinHeader_1x03_P2.54mm_Vertical,1,PIR_Sensor,
U2,TO-263-5_TabPin6,1,LM2596S-3.3V,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,ESP32-WROOM-32U,1,ESP32-WROOM,
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
Y1,Crystal_HC49-4H_Vertical,1,12MHz,
