Designator,Mid X,Mid Y,Rotation,Layer
BZ1,130.0025,-124.55,0.0,top
C1,118.843333,-117.83,180.0,top
C10,112.2125,-68.6,0.0,top
C11,110.49,-127.71,0.0,top
C12,121.83,-78.63,180.0,top
C13,121.83,-75.03,180.0,top
C14,110.21,-77.38,180.0,top
C15,136.79,-78.17,90.0,top
C2,114.47,-84.2,180.0,top
C3,114.57,-151.1,0.0,top
C4,115.56,-88.3,0.0,top
C5,123.74,-69.72,270.0,top
C6,114.666667,-117.83,180.0,top
C7,110.49,-117.83,0.0,top
C8,118.9125,-67.84,0.0,top
C9,117.12,-125.12,180.0,top
D1,168.18,-113.7275,180.0,top
D10,134.92,-84.38,180.0,top
D2,168.18,-107.635,180.0,top
D3,168.18,-101.5425,180.0,top
D4,168.18,-95.45,180.0,top
D5,119.57,-63.59,180.0,top
D6,126.76,-154.75,0.0,top
D7,168.18,-119.82,180.0,top
D8,111.7325,-63.65,0.0,top
D9,134.86,-90.5,180.0,top
J10,149.27,-155.44,90.0,top
J3,137.07,-147.25,90.0,top
J4,162.21,-147.25,90.0,top
J7,162.23,-66.915,90.0,top
J8,137.095,-66.915,90.0,top
J9,129.13,-63.6,270.0,top
L1,114.44,-137.24,90.0,top
OC1,134.29,-109.05,270.0,top
Q1,126.68,-83.76,90.0,top
R1,163.5775,-113.7375,0.0,top
R10,163.5775,-119.82,0.0,top
R11,126.45,-87.83,0.0,top
R12,130.17,-86.51,0.0,top
R13,130.1875,-83.1,0.0,top
R2,163.5775,-107.655,0.0,top
R3,132.44,-96.65,180.0,top
R4,132.4075,-100.04,180.0,top
R5,163.5775,-101.5725,0.0,top
R6,163.5775,-95.49,0.0,top
R7,136.38,-100.02,0.0,top
R8,122.82,-117.8,0.0,top
R9,110.29,-122.73,180.0,top
SW1,111.32,-93.21,270.0,top
SW2,130.44,-92.445,90.0,top
SW3,126.96,-92.445,90.0,top
U1,110.08,-84.09,0.0,top
U2,129.35,-140.39,90.0,top
U3,116.1,-75.09,270.0,top
U4,118.105,-105.39,90.0,top
U5,129.455,-76.71,180.0,top
Y1,121.83,-87.88,270.0,top
