Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_15x7.5RM7.6,1,Buzzer,
C1,0805,1,104,
C10,CP_Elec_6.3x7.7,1,220uF_16V,
"C11, C12",0805,2,22pF,
"C13, C14, C15, C2, C7, C8",0805,6,100nF,
C3,CP_Elec_10x12.5,1,680uF_35V,
"C4, C9",CP_EIA-3528-21_Kemet-B_HandSolder,2,4.7uF/16V,
C5,0805,1,470nF,
C6,CP_Radial_D5.0mm_P2.00mm,1,10uF_16V,
"D1, D4",D_SMA,2,1N5819,
"D10, D3, D5, D7, D8, D9",LED_D3.0mm,6,Red,
D2,D_SMA,1,1N5824,
D6,LED_D3.0mm,1,Green,
J1,PinHeader_1x08_P2.54mm_Vertical,1,MPU6050,
J10,TestPoint_Keystone_5015_Micro_Mini,1,-5V,
J11,PinHeader_1x04_P2.54mm_Vertical,1,USB_C Conn,
J15,PinHeader_1x06_P2.54mm_Vertical,1,SD MODULE,
J24,SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,1,BSENS,
J5,TestPoint_Keystone_5015_Micro_Mini,1,+IN,
J6,TestPoint_Keystone_5015_Micro_Mini,1,-IN,
J9,TestPoint_Keystone_5015_Micro_Mini,1,+5V,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,~,
L1,L_12x12mm_H6mm,1,33uH,
M1,PinHeader_1x02_P2.54mm_Vertical,1,Motor_DC,
"OC1, OC2",SMDIP-4_W9.53mm,2,PC817XI,
Q1,SOT-363_SC-70-6,1,UMH3N,
"R1, R11, R13, R14, R15, R17, R3",0805,7,10k,
"R16, R18, R19, R4, R5, R6, R7, R8",0805,8,330R,
R2,0805,1,20k,
SW1,SW_PUSH_6mm_H13mm,1,SW_Push,
SW2,SW_SPST_CK_KXT3,1,RESET,
SW3,SW_SPST_CK_KXT3,1,FLASH,
U1,TO-263-5_TabPin6,1,LM2596S-3.3V,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,ESP32-WROOM-32,1,ESP32-WROOM,
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
Y1,Crystal_HC49-4H_Vertical,1,12MHz,
