Designator,Mid X,Mid Y,Rotation,Layer
BZ1,151.68,-88.18,0.0,top
C1,139.04,-122.73,180.0,top
C10,131.41,-125.96,180.0,top
C11,141.8325,-84.74,180.0,top
C12,137.57,-84.705,0.0,top
C13,128.9225,-133.73,180.0,top
C14,132.785,-65.25,0.0,top
C15,136.985,-61.07,180.0,top
C2,154.68,-65.8075,90.0,top
C3,143.085,-141.78,90.0,top
C4,127.695,-89.195,180.0,top
C5,148.945,-61.07,180.0,top
C6,131.904888,-77.49,0.0,top
C7,153.075,-61.07,0.0,top
C8,131.43,-83.51,90.0,top
C9,133.4625,-89.215,0.0,top
D1,126.92,-82.21,270.0,top
D10,177.31,-110.285,180.0,top
D2,136.4175,-133.86,180.0,top
D3,177.315,-122.28,180.0,top
D4,134.5475,-97.57,270.0,top
D5,145.72,-66.1,0.0,top
D6,150.93,-66.155,0.0,top
D7,177.33,-116.335,180.0,top
D8,177.315,-98.17,180.0,top
D9,177.32,-104.235,180.0,top
J1,159.535,-112.58,90.0,top
J10,226.175,-143.79,90.0,top
J11,126.885,-71.575,0.0,top
J15,139.91,-111.02,180.0,top
J5,180.54,-143.92,90.0,top
J6,226.095,-67.325,90.0,top
J9,180.415,-67.91,90.0,top
L1,151.545,-127.35,90.0,top
M1,166.125,-117.93,270.0,top
OC1,163.52,-89.98,90.0,top
OC2,140.35,-94.855,90.0,top
Q1,144.94,-71.335,180.0,top
R1,172.4825,-126.29,180.0,top
R11,158.9,-97.025,0.0,top
R13,154.835,-117.135,0.0,top
R14,159.0,-117.1425,0.0,top
R15,154.71,-71.6125,270.0,top
R16,172.4025,-122.12,0.0,top
R17,144.93,-75.25,0.0,top
R18,141.025,-61.04,0.0,top
R19,145.005,-61.04,0.0,top
R2,172.4675,-129.57,180.0,top
R3,145.555,-101.9,180.0,top
R4,172.4025,-116.35,0.0,top
R5,172.4025,-98.155,0.0,top
R6,172.4025,-104.27,0.0,top
R7,172.4025,-110.305,0.0,top
R8,170.1,-84.055,0.0,top
SW1,177.33,-87.78,90.0,top
SW2,151.645,-72.065,90.0,top
SW3,148.505,-72.065,90.0,top
U1,160.52,-142.735,0.0,top
U2,128.4775,-96.785,90.0,top
U3,166.255,-68.225,0.0,top
U4,138.675,-68.845,270.0,top
Y1,140.755,-79.29,0.0,top
