Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C18, C20, C23, C26, C29, C3, C30, C4, C5",0805,11,100nF,
"C10, C12, C15, C17, C2, C6, C7, C8, C9",CP_Elec_10x12.5,9,680uF_35V,
"C11, C19",CP_EIA-3528-21_Kemet-B_HandSolder,2,4.7uF/16V,
C13,CP_Radial_D5.0mm_P2.00mm,1,10uF_16V,
C14,0805,1,470nF,
"C21, C22",0805,2,22pF,
"C24, C25, C31",CP_Elec_10x12.5,3,470uF_16V,
"C27, C28, C32",CP_Elec_10x12.5,3,220uF_16V,
"D1, D2, D3, D4, D6, D8",LED_D3.0mm,6,Red,
"D10, D9",D_SMA,2,1N5824,
D11,LED_D3.0mm,1,Green,
"D5, D7",D_SMA,2,1N5819,
J1,SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,1,BSENS,
J14,PinHeader_1x08_P2.54mm_Vertical,1,MPU6050,
J15,PinHeader_1x04_P2.00mm_Vertical,1,UART,
J16,PinHeader_1x04_P2.00mm_Vertical,1,I2C,
J17,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,12V IN,
J18,PinHeader_1x04_P2.54mm_Vertical,1,USB_C Conn,
J19,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,BMS,
J20,Barrel_Jack_PTH_Slot,1,CHARGER,
J9,PinSocket_1x04_P2.54mm_Vertical,1,Ultra Sonic,
"JP1, JP2, JP5, JP6",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,4,~,
"L1, L2",L_12x12mm_H6mm,2,33uH,
M1,PinHeader_1x03_P2.54mm_Vertical,1,Motor_Servo,
Q1,SOT-363_SC-70-6,1,UMH3N,
"R1, R12, R14, R15, R2, R5, R6",0805,7,330R,
"R10, R11, R13, R16, R9",0805,5,10k,
R17,0805,1,20k,
R3,0805,1,68k,
R4,0805,1,18k,
R7,0805,1,1k,
R8,0805,1,2k,
SW1,SW_SPST_CK_KXT3,1,RESET,
SW2,SW_SPST_CK_KXT3,1,FLASH,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,TO-263-5_TabPin6,1,LM2596S-3.3V,
U3,TO-263-5_TabPin6,1,LM2596S-5V,
U4,ESP32-WROOM-32U,1,ESP32-WROOM,
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
Y1,Crystal_HC49-4H_Vertical,1,12MHz,
