Designator,Mid X,Mid Y,Rotation,Layer
C1,146.5075,-129.88,180.0,top
C10,331.511666,-183.9,90.0,top
C11,204.8175,-194.005,0.0,top
C12,319.719999,-183.9,90.0,top
C13,221.749887,-211.44,0.0,top
C14,195.7375,-188.295,180.0,top
C15,307.928333,-183.9,90.0,top
C16,119.3,-143.205,0.0,top
C17,296.136666,-183.9,90.0,top
C18,221.88,-203.105,180.0,top
C19,204.8425,-189.0,0.0,top
C2,162.835,-131.4925,270.0,top
C20,333.1,-160.4,270.0,top
C21,209.715,-210.695,0.0,top
C22,214.02,-210.675,180.0,top
C23,193.19,-217.12,180.0,top
C24,109.285,-146.37,0.0,top
C25,307.135,-108.4,270.0,top
C26,192.1125,-203.775,180.0,top
C27,283.24,-108.4,270.0,top
C28,319.1,-108.4,270.0,top
C29,213.6675,-107.235,0.0,top
C3,124.43,-143.205,0.0,top
C30,213.6675,-89.06,0.0,top
C31,260.945,-108.335,270.0,top
C32,295.14,-108.335,270.0,top
C4,136.605,-170.14,180.0,top
C5,157.9175,-159.085,0.0,top
C6,279.818333,-183.865,90.0,top
C7,268.206666,-183.865,90.0,top
C8,256.52,-183.865,90.0,top
C9,244.8,-183.85,90.0,top
D1,349.17,-112.09125,180.0,top
D10,213.625,-83.12,180.0,top
D11,220.47,-185.035,270.0,top
D2,349.17,-118.1575,180.0,top
D3,349.17,-124.22375,180.0,top
D4,349.17,-130.29,180.0,top
D5,212.3025,-216.305,0.0,top
D6,349.17,-136.35625,180.0,top
D7,204.1225,-183.995,0.0,top
D8,220.47,-191.885,270.0,top
D9,213.625,-101.47,180.0,top
J14,131.7,-161.265,180.0,top
J15,320.58,-129.715,180.0,top
J16,320.58,-139.885,180.0,top
J17,322.75,-160.185,90.0,top
J18,202.115,-216.32,90.0,top
J19,233.215,-215.555,180.0,top
J20,343.9305,-144.7255,0.0,top
J9,155.07,-162.88,270.0,top
L1,201.9275,-102.055,270.0,top
L2,201.9275,-85.82,270.0,top
M1,144.9,-134.055,90.0,top
Q1,200.33,-199.12,270.0,top
R1,339.7,-112.2,0.0,top
R10,136.405,-162.115,0.0,top
R11,195.6,-193.2,0.0,top
R12,339.7,-136.5,0.0,top
R13,195.465,-198.85,0.0,top
R14,212.7475,-187.16,0.0,top
R15,212.7475,-183.215,0.0,top
R16,167.4,-113.1,180.0,top
R17,167.5,-121.9,0.0,top
R2,339.7,-118.2,0.0,top
R3,229.0875,-188.605,0.0,top
R4,229.0875,-193.345,0.0,top
R5,339.7,-124.2,0.0,top
R6,339.7,-130.2,0.0,top
R7,153.2,-169.0,180.0,top
R8,153.23,-159.115,0.0,top
R9,136.405,-166.1125,180.0,top
SW1,189.345,-193.21,0.0,top
SW2,189.445,-198.805,0.0,top
U1,213.4675,-194.23,270.0,top
U2,228.6525,-103.26,0.0,top
U3,228.6525,-84.78,0.0,top
U4,127.415,-130.52,90.0,top
U5,200.9975,-206.27,0.0,top
Y1,212.4125,-202.975,180.0,top
