Designator,Footprint,Quantity,Value,LCSC Part #
BZ6,Buzzer_15x7.5RM7.6,1,Buzzer,
"C1, C22, C23, C28, C30, C5, C55, C59, C60, C8, C9",0805,11,100nF,
"C10, C4",CP_Elec_6.3x7.7,2,220uF_16V,
"C18, C24",CP_EIA-3528-21_Kemet-B_HandSolder,2,4.7uF/16V,
C19,0805,1,470nF,
"C2, C3, C6, C7",CP_Elec_10x12.5,4,680uF_35V,
C20,CP_Radial_D5.0mm_P2.00mm,1,10uF_16V,
"C25, C26",0805,2,22pF,
"C56, C57, C58",CP_EIA-3528-21_Kemet-B_HandSolder,3,10uF,
"D1, D2",D_SMA,2,1N5824,
"D11, D8",LED_D3.0mm,2,Red,
D12,LED_D3.0mm,1,Green,
"D14, D9",D_SMA,2,1N5819,
"D23, D24, D25",D_SMA,3,1N4007,
"D3, D4",D_SOD-123,2,3.3V,
J1,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,FAN,
J2,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",1,SPINNER,
J23,PinHeader_1x04_P2.54mm_Vertical,1,USB_C Conn,
J3,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,BMS,
J4,PinHeader_1x04_P2.54mm_Vertical,1,RTC,
J42,PinSocket_1x04_P2.54mm_Vertical,1,Ultra Sonic,
J47,PinHeader_1x12_P2.54mm_Vertical,1,SCREEN,
J5,PinHeader_1x04_P2.54mm_Vertical,1,AHT20,
J6,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",1,HUMIDIFIER,
J7,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",1,HEATER,
J8,PinHeader_1x03_P2.54mm_Vertical,1,LEVELS,
"JP2, JP3, JP4, JP5",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,4,~,
"K4, K5, K6",Relay_SPDT_Finder_36.11,3,RELAY,
"L1, L2",L_12x12mm_H6mm,2,33uH,
"OC1, OC10, OC11, OC8, OC9",SMDIP-4_W9.53mm,5,PC817XI,
"OC13, OC14",SMDIP-4_W9.53mm,2,PC817,
Q2,SOT-363_SC-70-6,1,UMH3N,
Q9,TO-220-3_Vertical,1,TIP41,
"R1, R26, R28, R34, R35, R4, R48, R49, R5, R50, R51",0805,11,10k,
"R10, R11, R8, R9",0805,4,NS,
R2,0805,1,47k,
"R27, R29, R30",0805,3,330R,
R46,0805,1,1k,
R47,0805,1,2k,
"R53, R54",0805,2,150R,
RV2,Potentiometer_Bourns_3296W_Vertical,1,10K,
SW4,SW_SPST_CK_KXT3,1,RESET,
SW5,SW_SPST_CK_KXT3,1,FLASH,
U1,TO-263-5_TabPin6,1,LM2596S-3.3V,
U3,TO-263-5_TabPin6,1,LM2596S-5V,
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,
U7,ESP32-WROOM-32,1,ESP32-WROOM,
U8,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
Y2,Crystal_HC49-4H_Vertical,1,12MHz,
