Designator,Mid X,Mid Y,Rotation,Layer
BZ6,120.5,-74.29,0.0,top
C1,128.65,-116.6,180.0,top
C10,121.72,-114.08,0.0,top
C18,167.38,-59.03,0.0,top
C19,152.67,-86.8,0.0,top
C2,97.81,-105.87,0.0,top
C20,171.04,-64.68,180.0,top
C22,127.5075,-59.02,0.0,top
C23,165.53,-64.05,0.0,top
C24,160.13,-74.77,180.0,top
C25,180.775,-76.575,180.0,top
C26,172.245,-76.585,180.0,top
C28,172.245,-72.575,0.0,top
C3,97.81,-131.456667,0.0,top
C30,176.505,-76.545,0.0,top
C4,135.64,-92.7,180.0,top
C5,128.0975,-92.64,0.0,top
C55,166.9575,-139.02,180.0,top
C56,149.0575,-101.025,90.0,top
C57,149.0575,-117.3425,90.0,top
C58,149.0575,-133.81,90.0,top
C59,97.66,-66.24,180.0,top
C6,97.81,-118.663334,0.0,top
C60,139.8725,-87.59,180.0,top
C7,97.81,-93.076667,0.0,top
C8,127.5,-63.02,180.0,top
C9,127.52,-66.91,0.0,top
D1,111.71,-112.25,0.0,top
D11,186.2,-78.98,270.0,top
D12,186.16,-84.75,270.0,top
D14,178.0775,-59.16,180.0,top
D2,108.4825,-138.86,0.0,top
D23,153.29,-100.2875,270.0,top
D24,153.29,-116.49,270.0,top
D25,153.29,-132.83,270.0,top
D3,146.7475,-142.91,180.0,top
D4,146.8375,-139.12,180.0,top
D8,121.72,-60.28,180.0,top
D9,157.432387,-69.69,0.0,top
J1,134.02,-138.58,0.0,top
J2,184.27,-112.6,90.0,top
J23,186.79,-69.97,180.0,top
J3,118.63,-138.59,0.0,top
J4,137.5,-83.25,90.0,top
J42,170.91,-142.26,90.0,top
J47,107.93,-85.08,270.0,top
J5,93.64,-70.11,0.0,top
J6,184.27,-95.79,90.0,top
J7,184.27,-129.41,90.0,top
J8,157.99,-142.29,90.0,top
K4,165.86,-96.1,90.0,top
K5,165.86,-112.29,90.0,top
K6,165.86,-128.4325,90.0,top
L1,124.83,-125.78,0.0,top
L2,124.83,-101.92,0.0,top
OC1,136.93,-113.82,270.0,top
OC10,143.8,-97.72,270.0,top
OC11,156.7575,-80.96,0.0,top
OC13,103.23,-66.455,270.0,top
OC14,109.78,-66.415,270.0,top
OC8,143.8,-130.39,270.0,top
OC9,143.8,-113.84,270.0,top
Q2,166.54,-71.23,0.0,top
Q9,136.24,-127.37,270.0,top
R1,139.01,-104.77,0.0,top
R10,155.2875,-138.99,180.0,top
R11,151.4075,-138.99,180.0,top
R2,131.8,-113.58,180.0,top
R26,173.49,-86.29,0.0,top
R27,147.71,-85.45,0.0,top
R28,147.82,-81.66,180.0,top
R29,177.7,-86.35,0.0,top
R30,181.94,-86.38,0.0,top
R34,108.7525,-80.28,0.0,top
R35,97.56,-73.43,0.0,top
R4,129.4,-83.22,0.0,top
R46,171.06,-138.99,0.0,top
R47,174.84,-138.99,180.0,top
R48,149.0275,-125.34,180.0,top
R49,149.0275,-108.37,0.0,top
R5,129.3725,-86.72,180.0,top
R50,149.0275,-92.725,180.0,top
R51,151.95,-75.71,270.0,top
R53,97.55,-69.84,180.0,top
R54,108.8025,-76.67,180.0,top
R8,162.8175,-138.99,0.0,top
R9,159.0875,-138.99,0.0,top
RV2,97.34,-79.4,180.0,top
SW4,166.73,-80.11,180.0,top
SW5,166.62,-84.53,180.0,top
U1,111.465,-122.25,90.0,top
U3,111.465,-98.445,90.0,top
U5,157.56,-61.79,90.0,top
U7,139.9,-67.125,0.0,top
U8,178.305,-68.655,90.0,top
Y2,177.63,-80.86,0.0,top
