Designator,Mid X,Mid Y,Rotation,Layer
BZ1,181.1,-122.825,0.0,top
C1,149.19,-103.975,0.0,top
C10,135.56,-82.16,0.0,top
C11,180.95,-85.97,180.0,top
C12,171.58,-91.945,180.0,top
C13,103.995,-103.425,90.0,top
C14,103.98,-118.8575,270.0,top
C15,171.855,-101.0925,0.0,top
C16,168.7575,-108.825,0.0,top
C17,177.125,-111.735,180.0,top
C18,172.775,-104.735,0.0,top
C19,128.995,-85.775,90.0,top
C2,149.3875,-115.36,180.0,top
C20,128.96,-114.215,90.0,top
C21,135.62,-85.76,0.0,top
C22,129.78,-106.735,180.0,top
C3,155.5675,-128.2775,0.0,top
C4,135.54,-92.705,0.0,top
C5,135.68,-89.24,0.0,top
C6,172.4975,-129.0325,0.0,top
C7,166.295,-82.875,0.0,top
C8,177.510113,-93.525,180.0,top
C9,167.08,-101.13,180.0,top
D1,147.4625,-128.8125,270.0,top
D2,185.095,-90.59,180.0,top
D3,160.78,-83.405,0.0,top
D4,163.6525,-92.0,0.0,top
D5,186.585,-107.545,180.0,top
D6,186.525,-112.6,180.0,top
D7,128.5875,-94.245,0.0,top
D8,129.565,-122.455,0.0,top
J1,137.54,-131.4975,0.0,top
J11,103.4025,-90.04,270.0,top
J15,148.6075,-134.9075,0.0,top
J2,157.9,-132.8025,90.0,top
J3,147.66,-108.64,90.0,top
J4,153.33,-121.3,270.0,top
J5,168.775,-132.8325,270.0,top
J7,186.94,-98.285,180.0,top
L1,117.565,-87.63,0.0,top
L2,117.675,-116.045,0.0,top
OC1,169.02,-114.425,0.0,top
Q1,143.005,-121.425,180.0,top
Q2,136.67,-121.41,180.0,top
Q3,171.905,-96.9325,0.0,top
R1,145.365,-103.965,0.0,top
R10,161.51,-88.08,180.0,top
R11,167.005,-88.02,180.0,top
R12,172.695,-108.77,0.0,top
R13,181.1275,-111.66,0.0,top
R14,157.1625,-115.32,180.0,top
R15,153.22,-115.315,0.0,top
R2,130.085,-98.875,180.0,top
R3,130.06,-102.305,0.0,top
R4,161.55,-112.52,0.0,top
R5,150.6175,-131.055,180.0,top
R6,150.6775,-127.335,180.0,top
R7,168.3975,-129.0175,180.0,top
R8,164.55,-129.0225,0.0,top
R9,167.3975,-96.51,180.0,top
SW1,135.17,-106.64,0.0,top
SW2,162.265,-100.975,0.0,top
SW3,162.245,-96.73,0.0,top
U1,173.965,-84.855,0.0,top
U2,147.9,-91.05,0.0,top
U3,120.605,-102.21,0.0,top
U4,120.96,-130.44,0.0,top
U5,179.345,-102.235,90.0,top
Y1,160.03,-107.065,180.0,top
